identity,composite,marcKey,person,roles,title,attribution,provision,subjects,genres,relatedWork,recordId,personId,mistral_prediction,is_parent_category,mistral_confidence,mistral_parent_category
9.1,"""Schubert, Franz"" had the role of ""Contributor"" in relation to the work ""Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode"", which has the following provision information: ""Mainz: P. von Zabern, 1978"". This work is about: ""Photography in archaeology"".","7001 $aSchubert, Franz.","Schubert, Franz",Contributor,Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode,ausgewählt von Franz Schubert und Susanne Grunauer-von Hoerschelmann,"Mainz: P. von Zabern, 1978",Photography in archaeology,,,53144,53144#Agent700-22,"History, Heritage, and Memory",False,0.7034304738044739,"Humanities, Thought, and Interpretation"
9.0,"""Schubert, Franz, 1797-1828"" had the role of ""Contributor"" in relation to the work ""Quartette für zwei Violinen, Viola, Violoncell"", which has the following provision information: ""Leipzig: C.F. Peters, [19--?] Partitur"". This work is about: ""String quartets--Scores"".","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quartette für zwei Violinen, Viola, Violoncell",von Franz Schubert,"Leipzig: C.F. Peters, [19--?] Partitur",String quartets--Scores,,,772230,772230#Agent100-15,"Music, Sound, and Sonic Arts",False,0.9999988079071045,"Arts, Culture, and Creative Expression"
9.0,"""Schubert, Franz, 1797-1828"" had the role of ""Contributor"" in relation to the work ""Quartette für zwei Violinen, Viola, Violoncell"", which has the following provision information: ""Leipzig: C.F. Peters, [19--?] Partitur"". This work is about: ""String quartets--Scores"". It is further related to the work ""Quartets, violins (2), viola, cello. Selections"".","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quartette für zwei Violinen, Viola, Violoncell",von Franz Schubert,"Leipzig: C.F. Peters, [19--?] Partitur",String quartets--Scores,,"Quartets, violins (2), viola, cello. Selections",772230,772230#Hub240-16-Agent,"Music, Sound, and Sonic Arts",False,0.9999992847442627,"Arts, Culture, and Creative Expression"
9.0,"""Schubert, Franz, 1797-1828"" had the role of ""Contributor"" in relation to the work ""Der Hirt auf dem Felsen: nach Wilh. Müllers Gedicht ""Der Berghirt"" : für eine Singstimme mit Begleitung von Klarinette und Pianoforte, op. 129"", which has the following provision information: ""Wiesbaden: Breitkopf & Härtel, [19--]"". This work is about: ""Müller, Wilhelm, 1794-1827; Songs (High voice) with instrumental ensemble--Scores and parts"". Its form or genre is: ""Songs"".","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Der Hirt auf dem Felsen: nach Wilh. Müllers Gedicht ""Der Berghirt"" : für eine Singstimme mit Begleitung von Klarinette und Pianoforte, op. 129",Franz Schubert,"Wiesbaden: Breitkopf & Härtel, [19--]","Müller, Wilhelm, 1794-1827; Songs (High voice) with instrumental ensemble--Scores and parts",Songs,,666968,666968#Agent100-16,"Music, Sound, and Sonic Arts",False,0.9996989965438843,"Arts, Culture, and Creative Expression"
9.0,"""Schubert, Franz, 1797-1828"" had the role of ""Contributor"" in relation to the work ""Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet"", which has the following provision information: ""Kassel; New York: Bärenreiter, 1987, c1975"". This work is about: ""Quintets (Piano, violin, viola, cello, double bass)--Scores and parts"".","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet",Franz Schubert ; herausgegeben von Arnold Feil,"Kassel; New York: Bärenreiter, 1987, c1975","Quintets (Piano, violin, viola, cello, double bass)--Scores and parts",,,786540,786540#Agent100-16,"Music, Sound, and Sonic Arts",False,0.9999991655349731,"Arts, Culture, and Creative Expression"
9.0,"""Schubert, Franz, 1797-1828"" had the role of ""Contributor"" in relation to the work ""Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet"", which has the following provision information: ""Kassel; New York: Bärenreiter, 1987, c1975"". This work is about: ""Quintets (Piano, violin, viola, cello, double bass)--Scores and parts"". It is further related to the work ""Quintets, piano, violin, viola, cello, double bass, D. 667, A major"".","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet",Franz Schubert ; herausgegeben von Arnold Feil,"Kassel; New York: Bärenreiter, 1987, c1975","Quintets (Piano, violin, viola, cello, double bass)--Scores and parts",,"Quintets, piano, violin, viola, cello, double bass, D. 667, A major",786540,786540#Hub240-17-Agent,"Music, Sound, and Sonic Arts",False,0.9999992847442627,"Arts, Culture, and Creative Expression"
49.0,"""Wesley, John, 1703-1791"" had the role of ""Contributor"" in relation to the work ""John Wesley's Sunday service of the Methodists in North America"", which has the following provision information: ""[Nashville, Tenn.]: Quarterly Review, c1984"". This work is about: ""Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts"".","1001 $aWesley, John,$d1703-1791.","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,,,515773,515773#Agent100-17,"Religion, Theology, and Spirituality",False,0.9999998807907104,"Humanities, Thought, and Interpretation"
49.0,"""Wesley, John, 1703-1791"" had the role of ""Contributor"" in relation to the work ""John Wesley's Sunday service of the Methodists in North America"", which has the following provision information: ""[Nashville, Tenn.]: Quarterly Review, c1984"". This work is about: ""Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts"". It is further related to the work ""Sunday service of the Methodists in North America. 1984."".","70011$aWesley, John,$d1703-1791.$tSunday service of the Methodists in North America.$f1984.$5796","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,,Sunday service of the Methodists in North America. 1984.,515773,515773#Agent700-27,"Religion, Theology, and Spirituality",False,1.0,"Humanities, Thought, and Interpretation"
49.0,"""Wesley, John, 1703-1791"" had the role of ""Contributor"" in relation to the work ""John Wesley's Sunday service of the Methodists in North America"", which has the following provision information: ""[Nashville, Tenn.]: Quarterly Review, c1984"". This work is about: ""Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts"". It is further related to the work ""Sunday service of the Methodists in North America"".","1001 $aWesley, John,$d1703-1791.","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,,Sunday service of the Methodists in North America,515773,515773#Hub240-18-Agent,"Religion, Theology, and Spirituality",False,1.0,"Humanities, Thought, and Interpretation"
54.0,"""Strauss, Richard, 1864-1949"" had the role of ""Contributor"" in relation to the work ""The donkey's shadow: comedy in six scenes"", which has the following provision information: ""London; New York: Boosey & Hawkes, [1968]"". This work is about: ""Operas--Vocal scores with piano"". Its form or genre is: ""Operas"".","1001 $aStrauss, Richard,$d1864-1949.","Strauss, Richard, 1864-1949",Contributor,The donkey's shadow: comedy in six scenes,"adapted from Christoph Martin Wieland's novel The Abderites, by Hans Adler ; devised by Dom Stephan Schaller ; orchestrated and completed by Karl Haussner ; vocal score by Karl Haussner ; English version by Maria Pelikan","London; New York: Boosey & Hawkes, [1968]",Operas--Vocal scores with piano,Operas,,786805,786805#Agent100-17,"Music, Sound, and Sonic Arts",False,0.9933009147644043,"Arts, Culture, and Creative Expression"
