feature,weight,abs_weight,importance,feature_type
person_cosine,1.2746943247989624,1.2746943247989624,0.14372588110484827,cosine
person_levenshtein,0.9708344864015144,0.9708344864015144,0.10946470793069313,levenshtein
person_title_harmonic,0.8579700290128447,0.8579700290128447,0.09673887769200784,harmonic
composite_cosine,0.8073270776133016,0.8073270776133016,0.09102872219037626,cosine
low_composite_penalty,-0.6601381083248933,0.6601381083248933,0.07443269293981271,penalty
person_levenshtein_birth_death_match_product,0.5194578293326009,0.5194578293326009,0.05857053943455412,product
person_cosine_birth_death_match_product,0.5076163722674512,0.5076163722674512,0.057235377100225616,product
person_provision_harmonic,0.4717760160320663,0.4717760160320663,0.053194261768630534,harmonic
birth_death_match,0.3987010176256521,0.3987010176256521,0.04495482088592816,match
person_subjects_product,0.3772624325825141,0.3772624325825141,0.04253755153356622,product
birth_death_right,-0.36108516084098213,0.36108516084098213,0.04071351216217344,right
birth_death_left,-0.3400962885738543,0.3400962885738543,0.038346949370371704,left
title_subjects_ratio,-0.2159990333742864,0.2159990333742864,0.024354585084083613,ratio
title_cosine,0.1777481659568257,0.1777481659568257,0.020041676870997838,cosine
provision_subjects_harmonic,-0.1771584016035444,0.1771584016035444,0.019975179045071647,harmonic
title_cosine_squared,0.15216299188722684,0.15216299188722684,0.017156866281640294,squared
person_subjects_harmonic,0.13495916866043042,0.13495916866043042,0.015217079931659218,harmonic
title_provision_harmonic,-0.12275853758969474,0.12275853758969474,0.013841419574064677,harmonic
title_subjects_harmonic,-0.10152078189472917,0.10152078189472917,0.011446794376035458,harmonic
provision_cosine,-0.0753188170665582,0.0753188170665582,0.008492438646711054,cosine
subjects_cosine,-0.0718831326325261,0.0718831326325261,0.008105054186866257,cosine
composite_subjects_ratio,-0.059300402242697746,0.059300402242697746,0.006686310903241728,ratio
title_subjects_product,-0.03315826553228159,0.03315826553228159,0.0037387009864402686,product
